,词语,次数
0,武汉,293070
1,吃,147886
2,加油,115976
3,藕,94067
4,蒜,91232
5,好吃,90721
6,真的,64410
7,萝卜,63036
8,热情,49344
9,想,41101
10,粉,37316
11,大哥,33486
12,啊啊啊,33019
13,独头,31158
14,喜欢,30474
15,牛杂,29741
16,考古,29655
17,真,29193
18,笑,29182
19,死,26230
20,户部,26137
21,爱,24257
22,感觉,22660
23,买,22312
24,巷,21858
25,街,21805
26,树梢,21004
27,大蒜,20985
28,可爱,19814
29,饿,18589
30,洛阳,18392
31,湖北,17734
32,猝不及防,16970
33,疫情,16333
34,大佬,16162
35,恰饭,16087
36,好好,15518
37,卤,15513
38,沐,15054
39,地方,15021
40,丑,14844
41,恰,14757
42,氛围,14531
43,米粉,14313
44,辣,14032
45,便宜,14026
46,希望,13592
47,长子,13205
48,四川,13113
49,牛肉,13023
50,广告,12688
51,走,12626
52,闻见,12572
53,哭,12491
54,视频,12328
55,痔疮,12213
56,江西,11844
57,邵阳,11658
58,嗦,11564
59,好像,11520
60,里,11427
61,这是,11083
62,岁,10868
63,味道,10449
64,馋,10195
65,牙膏,10119
66,超,10023
67,闻到,10001
68,恍恍惚惚,9648
69,老乡,9596
70,旁边,9586
71,弹幕,9351
72,棒,9247
73,常德,9156
74,吼吼,9138
75,闻,8961
76,香,8924
77,中国,8921
78,母上,8719
79,泪目,8660
80,气,8581
81,a,8481
82,云南白药,8470
83,广西,8422
84,热,8379
85,去过,8237
86,红红火火,8161
87,羡慕,8129
88,跑,8121
89,太棒了,8117
90,我家,8093
91,声音,8032
92,老板,8006
93,卤菜,7970
94,手机,7907
95,确实,7900
96,肉,7870
97,烟火,7623
98,挺,7512
99,口腔溃疡,7406
100,我要,7224
101,广东,7155
102,胖,7140
103,牛,7119
104,话,7089
105,卧槽,6974
106,脆,6883
107,汤,6879
108,感动,6843
109,这条,6788
110,长,6751
111,喝,6615
112,看着,6606
113,过期,6598
114,幸福,6579
115,财大,6553
116,菜,6553
117,机会,6520
118,市场,6465
119,莲藕,6366
120,湖南,6311
121,不吃,6274
122,美食,6191
123,寂寞,6160
124,黄鹤楼,6116
125,下次,6084
126,白萝卜,6062
127,完,6027
128,俩,6020
129,宝贝,5993
130,吉庆街,5988
131,外地人,5983
132,长堤,5967
133,回来,5934
134,hh,5923
135,东西,5910
136,江湖,5906
137,玩,5887
138,真实,5833
139,锅,5815
140,北京,5754
141,吴,5739
142,长沙,5729
143,这才,5694
144,好棒,5617
145,厉害,5594
146,烟,5550
147,摄像,5539
148,掉,5538
149,肯定,5534
150,夜市,5520
151,晚上,5515
152,不行,5496
153,做,5495
154,贼,5492
155,前来,5470
156,玉子,5469
157,桂萍,5459
158,大叔,5453
159,不错,5431
160,太好了,5420
161,杨,5315
162,炒粉,5278
163,永远,5263
164,高,5251
165,吃饭,5244
166,找,5227
167,进度条,5189
168,sao,5187
169,时间,5030
170,yyds,4888
171,尴尬,4882
172,穿,4820
173,店,4799
174,平安,4799
175,警告,4764
176,灵魂,4733
177,口水,4697
178,好多,4696
179,听,4603
180,这家,4602
181,手,4576
182,一条街,4562
183,河南,4548
184,食堂,4539
185,南昌,4533
186,小哥,4510
187,发现,4509
188,时代,4488
189,拍,4487
190,神,4485
191,真好,4484
192,米饭,4480
193,喝多,4442
194,独蒜,4433
195,巨,4379
196,东北,4377
197,天,4368
198,城市,4358
199,大学,4338
200,逼,4316
201,好家伙,4314
202,深夜,4296
203,卖,4272
204,马应龙,4271
205,犹豫,4264
206,味,4252
207,问,4246
208,生活,4184
209,过年,4181
210,两个,4169
211,失蒜,4165
212,有钱,4149
213,圆子,4091
214,一绝,4087
215,重庆,4029
216,瓶盖,4022
217,冬天,3957
218,过早,3862
219,云南,3846
220,鱼粉,3825
221,⊙,3820
222,摄影,3814
223,点,3804
224,还好,3791
225,结束,3780
226,精华,3779
227,炖,3769
228,怀孕,3769
229,告诉,3759
230,盲猜,3736
231,摄影师,3732
232,大虾,3725
233,酥,3709
234,糯,3691
235,猜,3662
236,我闻,3580
237,坐,3506
238,上供,3497
239,哇哇,3487
240,口音,3453
241,西瓜霜,3436
242,实在,3432
243,家,3426
244,住,3391
245,温暖,3390
246,请,3387
247,买买,3378
248,犯,3354
249,桂平,3345
250,大排档,3344
251,全国,3330
252,生日,3329
253,一点,3324
254,夹,3319
255,不到,3305
256,大爷,3287
257,山东,3282
258,冬吃,3269
259,人间烟火,3265
260,北方,3245
261,诶,3236
262,拌,3236
263,热闹,3219
264,夏吃,3201
265,姜,3200
266,四川话,3196
267,围观,3191
268,滴,3187
269,情商,3186
270,想到,3165
271,江汉路,3159
272,随便,3145
273,开心,3140
274,排面,3129
275,眼镜,3123
276,天下第一,3111
277,男,3109
278,大汉,3091
279,热干面,3087
280,贵,3087
281,几个,3071
282, ,3024
283,子,3003
284,温馨,2981
285,碗,2956
286,尼亚,2948
287,酱,2918
288,路过,2892
289,土豆,2886
290,本地人,2880
291,那种,2879
292,汉口,2878
293,量,2874
294,一家,2871
295,鸭,2864
296,味儿,2858
297,粮道,2855
298,谢谢,2855
299,回,2854
300,小时候,2848
301,配,2837
302,阿萨姆,2834
303,兰州,2829
304,打钱,2813
305,咸,2812
306,c,2804
307,一口,2787
308,人情味,2785
309,汤包,2769
310,哥哥,2764
311,不香,2752
312,几天,2747
313,一半,2742
314,阿姨,2728
315,熟悉,2725
316,实惠,2716
317,喵,2713
318,团结,2710
319,有点像,2696
320,肠子,2679
321,读书,2656
322,蝙蝠,2646
323,酒,2645
324,排骨汤,2643
325,自取其辱,2634
326,刚刚,2610
327,路,2595
328,同款,2572
329,泥,2570
330,别去,2564
331,很棒,2558
332,少,2557
333,孩子,2541
334,报道,2536
335,样子,2532
336,朋友,2530
337,干粉,2527
338,学校,2515
339,还行,2509
340,好开心,2502
341,第一次,2473
342,孙俪,2470
343,有人,2469
344,汤粉,2466
345,不好,2460
346,成都,2458
347,有意思,2447
348,郴州,2438
349,我大,2434
350,短袖,2433
351,特色,2427
352,开,2422
353,捂汗,2417
354,洪湖,2416
355,家宴,2416
356,香味,2416
357,ng,2406
358,热干,2404
359,快乐,2397
360,英雄,2394
361,饭,2390
362,人好,2389
363,小吃街,2384
364,和睦,2375
365,假人,2348
366,推荐,2336
367,十八岁,2336
368,干,2326
369,气氛,2306
370,瘦,2300
371,假,2293
372,gai,2292
373,小吃,2281
